"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Страница Login Page","0","Авторизация","2","0","Успешная авторизация","0"
"0","Оформление заказа","0","Заполнение персональных данных","2","0","Некорректное заполнение поля Zip/Postal Code","0"
"0","Оформление заказа","0","Заполнение персональных данных","2","0","Некорректное заполнение поля Last Name","0"
"0","Оформление заказа","0","Отсутствие заполнения персональных данных","2","0","Отмена заполнения персональных данных","0"
"0","Оформление заказа","0","Заполнение персональных данных","4","0","Корректное заполнение","0"
"0","Оформление заказа","0","Заполнение персональных данных","2","0","Некорректное заполнение поля First Name","0"
"0","Страница Login Page","0","Авторизация","2","0","Авторизация с невалидным значением в поле Password","0"
"0","Страница Login Page","0","Авторизация","2","0","Авторизация с невалидным значением в поле Username","0"
"0","Корзина","0","Добавление товара","2","0","Отображение товара в корзине","0"
"0","Корзина","0","Добавление товара в корзину","2","0","Отображение товара в корзине","0"
"0","Страница Login Page","0","Авторизация","2","0","Авторизация с отсутствием заполнения авторизационных данных","0"
